uri,label_en
https://www.congress.gov/help/field-values/legislative-subject-terms#119,Airlines
https://www.congress.gov/help/field-values/legislative-subject-terms#120,Airmail service
https://www.congress.gov/help/field-values/legislative-subject-terms#121,Airports
https://www.congress.gov/help/field-values/legislative-subject-terms#122,Airships
https://www.congress.gov/help/field-values/legislative-subject-terms#123,Airspace (Law)
https://www.congress.gov/help/field-values/legislative-subject-terms#124,Alabama
https://www.congress.gov/help/field-values/legislative-subject-terms#125,Alaska
https://www.congress.gov/help/field-values/legislative-subject-terms#126,Alaska Natives and Hawaiians
https://www.congress.gov/help/field-values/legislative-subject-terms#127,Albania
https://www.congress.gov/help/field-values/legislative-subject-terms#128,Alcohol
https://www.congress.gov/help/field-values/legislative-subject-terms#129,Alcohol and women
https://www.congress.gov/help/field-values/legislative-subject-terms#130,Alcohol and youth
https://www.congress.gov/help/field-values/legislative-subject-terms#131,Alcohol as fuel
https://www.congress.gov/help/field-values/legislative-subject-terms#132,Alcohol tax
https://www.congress.gov/help/field-values/legislative-subject-terms#133,Alcoholic beverages
https://www.congress.gov/help/field-values/legislative-subject-terms#134,Alcoholism
https://www.congress.gov/help/field-values/legislative-subject-terms#135,Algae
https://www.congress.gov/help/field-values/legislative-subject-terms#136,Algal blooms
https://www.congress.gov/help/field-values/legislative-subject-terms#137,Algeria
https://www.congress.gov/help/field-values/legislative-subject-terms#138,Alien labor
https://www.congress.gov/help/field-values/legislative-subject-terms#139,Alien property
https://www.congress.gov/help/field-values/legislative-subject-terms#140,Aliens
https://www.congress.gov/help/field-values/legislative-subject-terms#141,Alimony
https://www.congress.gov/help/field-values/legislative-subject-terms#142,All terrain vehicles
https://www.congress.gov/help/field-values/legislative-subject-terms#143,Allegiance
https://www.congress.gov/help/field-values/legislative-subject-terms#144,Allergies
https://www.congress.gov/help/field-values/legislative-subject-terms#145,Alliances
https://www.congress.gov/help/field-values/legislative-subject-terms#146,Allied health services
https://www.congress.gov/help/field-values/legislative-subject-terms#147,Alloys
https://www.congress.gov/help/field-values/legislative-subject-terms#148,Alternative agriculture
https://www.congress.gov/help/field-values/legislative-subject-terms#149,Alternative and renewable resources
https://www.congress.gov/help/field-values/legislative-subject-terms#150,Alternative crops
https://www.congress.gov/help/field-values/legislative-subject-terms#151,Alternative dispute resolution
https://www.congress.gov/help/field-values/legislative-subject-terms#152,"Alternative dispute resolution, mediation, arbitration"
https://www.congress.gov/help/field-values/legislative-subject-terms#153,Alternative energy sources
https://www.congress.gov/help/field-values/legislative-subject-terms#154,Alternative medicine
https://www.congress.gov/help/field-values/legislative-subject-terms#155,Alternative treatments
https://www.congress.gov/help/field-values/legislative-subject-terms#156,Aluminum
https://www.congress.gov/help/field-values/legislative-subject-terms#157,Alzheimer's disease
https://www.congress.gov/help/field-values/legislative-subject-terms#158,Ambulances
https://www.congress.gov/help/field-values/legislative-subject-terms#159,Ambulatory care
https://www.congress.gov/help/field-values/legislative-subject-terms#160,American Battle Monuments Commission
